Candidate URL,Name,Total Assets in LokSabha 2023,Total Assets in LokSabha 2019,Asset Increase,Increase in Asset,Date
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5116&id2=4802,Lavu Srikrishna Devarayalu (TDP),"56,65,48,46656 Crore+","17,77,10,07317 Crore+","38,88,38,39338 Crore+",219%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=2512&id2=4780,Dr. Mahesh Sharma (BJP),"83,82,09,10383 Crore+","47,87,59,56847 Crore+","35,94,49,53535 Crore+",75%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=6657&id2=4794,Balashowry Vallabhaneni (Janasena Party),"1,33,72,14,564133 Crore+","99,05,75,84099 Crore+","34,66,38,72434 Crore+",35%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=2218&id2=7212,Raju Bista (BJP),"47,53,57,26847 Crore+","15,11,06,06215 Crore+","32,42,51,20632 Crore+",215%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5120&id2=4722,Magunta Sreenivasulu Reddy (TDP),"57,95,39,82057 Crore+","26,65,83,68626 Crore+","31,29,56,13431 Crore+",117%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=1893&id2=4959,Prajwal Revanna (Janata Dal (Secular)),"40,88,71,06040 Crore+","9,78,48,6329 Crore+","31,10,22,42831 Crore+",318%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=566&id2=7973,Kanimozhi Karunanidhi (DMK),"60,40,56,59060 Crore+","30,33,73,13030 Crore+","30,06,83,46030 Crore+",99%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=216&id2=14218,Dm Kathir Anand (DMK),"88,80,19,64388 Crore+","58,75,79,45158 Crore+","30,04,40,19230 Crore+",51%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5325&id2=10006,Shrirang Appa Chandu Barne (Shiv Sena),"1,31,85,91,631131 Crore+","1,02,33,10,134102 Crore+","29,52,81,49729 Crore+",29%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=7154&id2=5560,Sangeeta Kumari Singh Deo (BJP),"67,30,60,63067 Crore+","37,95,90,85137 Crore+","29,34,69,77929 Crore+",77%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=8770&id2=12998,Nishikant Dubey (BJP),"74,69,74,20874 Crore+","46,27,57,50046 Crore+","28,42,16,70828 Crore+",61%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=2797&id2=5485,Hemamalini Dharmendra Deol (BJP),"2,78,93,68,227278 Crore+","2,50,82,70,292250 Crore+","28,10,97,93528 Crore+",11%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=4316&id2=7991,Supriya Sule (Nationalist Congress Party – Sharadchandra Pawar),"1,66,51,86,348166 Crore+","1,40,88,88,704140 Crore+","25,62,97,64425 Crore+",18%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=8425&id2=12150,Krishan Pal (BJP),"62,58,15,84362 Crore+","36,96,52,78636 Crore+","25,61,63,05725 Crore+",69%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=4427&id2=8016,Amit Shah (BJP),"65,67,12,49865 Crore+","40,32,75,30740 Crore+","25,34,37,19125 Crore+",63%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=184&id2=5219,T R Baalu (DMK),"45,73,02,05645 Crore+","20,88,06,44620 Crore+","24,84,95,61024 Crore+",119%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=4320&id2=7780,Shrimant Chh Udayanraje Pratapsinhamaharaj Bhonsle (BJP),"2,23,12,33,939223 Crore+","1,99,68,13,173199 Crore+","23,44,20,76623 Crore+",12%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5253&id2=6753,B. B. Patil (BJP),"1,51,69,31,855151 Crore+","1,28,78,51,556128 Crore+","22,90,80,29922 Crore+",18%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=8791&id2=12940,Ravindra Shukla Alias Ravi Kishan (BJP),"43,32,35,34043 Crore+","20,84,94,68820 Crore+","22,47,40,65222 Crore+",108%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=283&id2=4996,Mala Rajya Lakshmi Shah (BJP),"2,06,87,39,424206 Crore+","1,84,66,40,100184 Crore+","22,20,99,32422 Crore+",12%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5246&id2=4828,Arvind Dharmapuri (BJP),"1,09,90,20,273109 Crore+","87,69,30,46887 Crore+","22,20,89,80522 Crore+",25%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5111&id2=4812,Y. S. Avinash Reddy (YSRCP),"40,43,01,97340 Crore+","18,69,69,79418 Crore+","21,73,32,17921 Crore+",116%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=2313&id2=9269,Shashi Tharoor (INC),"56,06,56,12656 Crore+","35,00,22,58535 Crore+","21,06,33,54121 Crore+",60%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=1081&id2=5206,Dr.Kalanidhi Veeraswamy (DMK),"61,06,14,06661 Crore+","40,52,94,71440 Crore+","20,53,19,35220 Crore+",51%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=3419&id2=10428,Annasaheb Shankar Jolle (BJP),"54,76,88,68054 Crore+","34,49,22,83134 Crore+","20,27,65,84920 Crore+",59%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5321&id2=7766,Danve Raosaheb Dadarao (BJP),"42,60,30,65142 Crore+","22,95,57,99222 Crore+","19,64,72,65919 Crore+",86%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=8799&id2=12968,Kamlesh Paswan (BJP),"36,18,30,25936 Crore+","17,17,06,88317 Crore+","19,01,23,37619 Crore+",111%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=1992&id2=9623,Sukhbir Singh Jaunapuria (BJP),"1,42,06,25,967142 Crore+","1,23,38,02,420123 Crore+","18,68,23,54718 Crore+",15%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=9505&id2=13050,Ravi Shankar Prasad (BJP),"40,60,98,34540 Crore+","23,52,75,59123 Crore+","17,08,22,75417 Crore+",73%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=181&id2=8093,Karti P Chidambaram (INC),"96,27,44,04896 Crore+","79,37,29,02479 Crore+","16,90,15,02416 Crore+",21%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=8332&id2=13460,Sangam Lal Gupta (BJP),"39,49,32,22939 Crore+","24,87,89,51424 Crore+","14,61,42,71514 Crore+",59%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=3378&id2=7854,Khalilur Rahaman (AITC),"51,43,46,28351 Crore+","36,83,06,70536 Crore+","14,60,39,57814 Crore+",40%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=8819&id2=13599,Manish Tewari (INC),"29,68,42,68829 Crore+","15,46,37,86015 Crore+","14,22,04,82814 Crore+",92%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=7194&id2=11441,Kirtivardhan Singh (BJP),"37,07,96,43037 Crore+","23,27,35,28523 Crore+","13,80,61,14513 Crore+",59%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=8070&id2=12117,Veena Devi (Lok Janshakti Party(Ram Vilas)),"46,71,70,04946 Crore+","33,72,84,63233 Crore+","12,98,85,41712 Crore+",39%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=7216&id2=9851,Dr Shrikant Eknath Shinde (Shiv Sena),"14,92,08,81214 Crore+","1,96,16,5151 Crore+","12,95,92,29712 Crore+",661%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=7205&id2=11205,Kalyan Banerjee (AITC),"30,54,79,47130 Crore+","17,59,68,90217 Crore+","12,95,10,56912 Crore+",74%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5329&id2=8513,Dr. Sujay Radhakrishna Vikhepatil (BJP),"29,18,88,99929 Crore+","16,86,64,57616 Crore+","12,32,24,42312 Crore+",73%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=7092&id2=9859,Rajan Baburao Vichare (ShivSena (Uddhav Balasaheb Thackeray)),"29,72,79,25829 Crore+","18,14,41,46518 Crore+","11,58,37,79311 Crore+",64%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=7270&id2=9974,Rahul Ramesh Shewale (Shiv Sena),"13,39,94,85413 Crore+","1,88,81,3631 Crore+","11,51,13,49111 Crore+",610%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5251&id2=4839,G. Kishan Reddy (BJP),"19,22,41,72119 Crore+","8,14,30,7788 Crore+","11,08,10,94311 Crore+",136%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=940&id2=14252,Vijayakumar Alias Vijay Vasanth (INC),"64,27,30,75264 Crore+","53,22,75,97753 Crore+","11,04,54,77511 Crore+",21%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=6620&id2=5008,Kinjarapu Rammohan Naidu (TDP),"23,30,73,56123 Crore+","12,27,91,04212 Crore+","11,02,82,51911 Crore+",90%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=9416&id2=9927,Manjulata Mandal (BJD),"14,88,63,36114 Crore+","3,94,17,8913 Crore+","10,94,45,47010 Crore+",278%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=7241&id2=9818,Dr. Bharati Pravin Pawar (BJP),"22,85,98,16422 Crore+","12,28,85,34912 Crore+","10,57,12,81510 Crore+",86%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5064&id2=13095,Sudheer Gupta (BJP),"19,28,84,64219 Crore+","9,09,08,9449 Crore+","10,19,75,69810 Crore+",112%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=3567&id2=10408,Pralhad Joshi (BJP),"21,09,60,95321 Crore+","11,13,84,44711 Crore+","9,95,76,5069 Crore+",89%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5330&id2=10023,Lokhande Sadashiv Kisan (Shiv Sena),"21,31,91,18721 Crore+","11,37,10,52611 Crore+","9,94,80,6619 Crore+",87%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5235&id2=4850,Manne Srinivas Reddy (BRS),"16,18,35,68616 Crore+","6,33,53,1236 Crore+","9,84,82,5639 Crore+",155%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=329&id2=5804,Nitin Jairam Gadkari (BJP),"28,03,17,32128 Crore+","18,79,16,07518 Crore+","9,24,01,2469 Crore+",49%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=8022&id2=8379,Bhartruhari Mahtab (BJP),"19,90,52,79919 Crore+","10,68,94,97610 Crore+","9,21,57,8239 Crore+",86%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=7852&id2=12087,Dr.Sanjay Jaiswal (BJP),"29,05,35,12629 Crore+","19,94,04,88519 Crore+","9,11,30,2419 Crore+",46%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=8151&id2=13486,Jagdambika Pal (BJP),"19,35,36,62319 Crore+","10,33,66,71010 Crore+","9,01,69,9139 Crore+",87%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=7177&id2=9670,Kunwar Pushpendra Singh Chandel (BJP),"25,66,60,89925 Crore+","16,71,59,92416 Crore+","8,95,00,9758 Crore+",54%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=7186&id2=11454,Vinod Kumar Sonkar (BJP),"14,55,98,21714 Crore+","5,93,36,1135 Crore+","8,62,62,1048 Crore+",145%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=7903&id2=12699,Manoj Tiwari (BJP),"32,81,62,60132 Crore+","24,28,17,03124 Crore+","8,53,45,5708 Crore+",35%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5077&id2=9720,Ashok Kumar Rawat (BJP),"12,96,70,31812 Crore+","4,87,71,2074 Crore+","8,08,99,1118 Crore+",166%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=7087&id2=9834,Kapil Moreshwar Patil (BJP),"49,84,56,70649 Crore+","41,88,50,78141 Crore+","7,96,05,9257 Crore+",19%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=3451&id2=7417,Lalubhai Babubhai Patel (BJP),"29,19,80,87429 Crore+","21,39,93,75021 Crore+","7,79,87,1247 Crore+",36%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5154&id2=11362,Arjun Munda (BJP),"16,56,55,05716 Crore+","9,15,07,8659 Crore+","7,41,47,1927 Crore+",81%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5076&id2=9679,Jai Prakash (BJP),"30,39,74,60830 Crore+","23,40,32,62423 Crore+","6,99,41,9846 Crore+",30%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=9428&id2=12952,Afzal Ansari (SP),"20,76,82,22420 Crore+","13,79,38,75613 Crore+","6,97,43,4686 Crore+",51%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=1155&id2=5248,C N Annadurai (DMK),"20,36,86,31120 Crore+","13,48,97,46613 Crore+","6,87,88,8456 Crore+",51%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=2240&id2=5942,Mohammad Jawed (INC),"15,96,75,94315 Crore+","9,09,73,8039 Crore+","6,87,02,1406 Crore+",76%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=8760&id2=13025,Anurag Singh Thakur (BJP),"12,26,63,40612 Crore+","5,67,70,4635 Crore+","6,58,92,9436 Crore+",116%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=8170&id2=12547,Ritesh Pandey (BJP),"37,22,35,88737 Crore+","30,72,65,12130 Crore+","6,49,70,7666 Crore+",21%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=7171&id2=11036,Smriti Irani (BJP),"17,57,02,08617 Crore+","11,10,99,60911 Crore+","6,46,02,4776 Crore+",58%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=4005&id2=7055,B.Y.Raghavendra (BJP),"73,71,45,31073 Crore+","67,40,93,85167 Crore+","6,30,51,4596 Crore+",9%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5170&id2=13092,Anil Firojiya (BJP),"8,81,59,7668 Crore+","2,64,17,9372 Crore+","6,17,41,8296 Crore+",234%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=2435&id2=6586,Jadhav Sanjay ( Bandu ) Haribhau (ShivSena (Uddhav Balasaheb Thackeray)),"10,27,06,52310 Crore+","4,10,40,0114 Crore+","6,16,66,5126 Crore+",150%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=1966&id2=5480,Chikhlikar Prataprao Govindrao (BJP),"11,34,87,65611 Crore+","5,21,78,6065 Crore+","6,13,09,0506 Crore+",117%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5187&id2=10106,Satabdi Roy (AITC),"10,92,45,50010 Crore+","4,86,52,7224 Crore+","6,05,92,7786 Crore+",125%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5058&id2=9786,Giriraj Singh (BJP),"14,31,69,29714 Crore+","8,30,24,5778 Crore+","6,01,44,7206 Crore+",72%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=5228&id2=4589,Asaduddin Owaisi (All India Majlis-E-Ittehadul Muslimeen),"23,87,66,04423 Crore+","17,90,44,37617 Crore+","5,97,21,6685 Crore+",33%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=3417&id2=7255,Raja Amareshwara Naik (BJP),"8,87,92,7128 Crore+","3,06,38,3753 Crore+","5,81,54,3375 Crore+",190%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=2567&id2=10788,Om Birla (BJP),"10,62,06,64510 Crore+","4,83,47,7374 Crore+","5,78,58,9085 Crore+",120%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=1866&id2=5160,P C Mohan (BJP),"81,30,65,20781 Crore+","75,55,29,30675 Crore+","5,75,35,9015 Crore+",8%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=100&id2=5212,Sumathy T (DMK),"14,86,58,29814 Crore+","9,17,93,4609 Crore+","5,68,64,8385 Crore+",62%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=3534&id2=7767,Sanjay Sadashivrao Mandlik (Shiv Sena),"15,11,29,21215 Crore+","9,51,71,8929 Crore+","5,59,57,3205 Crore+",59%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=8558&id2=12139,Dharambir Singh (BJP),"11,56,64,42411 Crore+","6,06,42,2056 Crore+","5,50,22,2195 Crore+",91%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=1843&id2=9607,Gajendra Singh Shekhawat (BJP),"19,30,27,65819 Crore+","13,80,29,51113 Crore+","5,49,98,1475 Crore+",40%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=8159&id2=12424,Ram Shiromani Verma (SP),"7,36,38,3437 Crore+","1,91,08,2161 Crore+","5,45,30,1275 Crore+",285%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=7933&id2=12452,Adhikari Deepak (Dev) (AITC),"37,13,47,06937 Crore+","31,73,20,57931 Crore+","5,40,26,4905 Crore+",17%,05/06/2024 23:24:59
https://www.myneta.info/LokSabha2024/index.php?action=affidavitComparison&myneta_folder2=LokSabha2019&id1=1043&id2=6457,Dayanidhi Maran (DMK),"17,07,70,03717 Crore+","11,67,90,61611 Crore+","5,39,79,4215 Crore+",46%,05/06/2024 23:24:59
